z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
7,12,19,522.3830899999994,,,5328.2305,17343.7002,-16557.4995,0.336,8156.4598,16351.9817,265.0664000000006,-43913.9955,8567.7533,12523.3972,42438.0088,-43225.3559,-17579.497300000003,-15526.0403
7,13,20,6406.678220000002,,,2161.0753,21783.9611,-15737.0689,0.136,7489.3057,17936.2277,561.6095000000005,-47635.0708,10362.322,17970.3261,44604.0841,-45292.7238,-16759.0667,-17770.1168
7,14,21,5756.4208800000015,,,4605.9005,25279.5206,-20411.0,0.0853,6766.9758,19560.6224,2293.3288999999995,-53150.9714,13364.4256,17169.8816,49116.2773,-51458.6243,-21432.9978,-20909.3222
7,15,22,11825.996880000002,,,1538.4289,28971.4287,-21846.3983,0.0209,6144.3294,21167.0,3468.842850000001,,15631.4527,22481.7725,52214.7062,-53907.0533,-22868.3961,-22452.7511
7,16,23,12515.758879999998,,,3115.6936,33435.1656,-27450.0,0.0141,4654.1225,24179.745,5731.43525,,19366.0789,22099.0584,56240.3999,,-28471.9978,-25474.7374
7,17,24,21512.33188,,,-2146.0,39393.0,,5.2e-8,969.0,24522.0,4464.5,,24245.0,28438.0,,,,-24888.0
7,18,25,25218.99288,,,-973.0,44649.0,,,-3120.0,,3283.5,,29411.0,28654.0,,,,-24825.0
8,3,11,,,,,,23373.2693,1.052667e-21,,-1649.9147,,37089.5162,,,-4249.9999,24751.2693,22351.2715,
8,4,12,,,1968.0,23796.8964,,14675.2668,2.32407e-17,,-358.7199,-2487.8128500000003,32013.3349,,,-1736.7199,14074.9668,13653.269,-5475.8501
8,5,13,,,,16969.2213,,17769.9506,0.00858,40766.1177,1511.6075,-409.7200999999996,19990.4224,,-18915.0,2111.9075,15826.4606,16747.9528,-8220.4554
8,6,14,,,6590.0,23178.9686,,5144.3643,70.6183,40148.1899,4626.671,2500.36395,4987.8879,-42093.0,-23956.6215,6570.161,-2406.1992,4122.3665,-10115.8076
8,7,15,-55317.01411999999,,,13223.477,-37359.7515,2754.1841,122.268,36402.4456,7296.7657,3345.1031,-7017.523,-37180.0986,-13711.13,14847.3293,-7453.2421,1732.1862999999998,-10218.6907
8,8,16,-52844.04129,0.3530419112408761,6917.1,15663.9424,-28723.7772,-10420.9094,STABLE,28887.4195,12127.4113,1216.0360499999997,-18431.1354,-29375.0724,-15412.184,22334.8376,-21899.1184,-11442.9072,-7161.918
8,9,17,-33518.15233,,,4143.0801,-17309.2162,-8678.843,STABLE,19807.0225,13781.6425,-494.61929999999984,-21840.6437,-19555.2641,-2760.4655,25259.8515,-21791.8685,-9700.8408,-6358.6894
8,10,18,-27600.63446,0.3654982593984814,1982.07,8045.3702,-6100.4337,-13895.9838,STABLE,12188.4503,15941.8662,-1719.5949,-25702.082,-10805.8357,-1655.9288,29054.8916,-29103.6669,-14917.9816,-6227.6255
8,11,19,-14761.47912,,,3955.6439,1580.8043,-12523.3972,26.47,12001.0141,17069.2807,-973.30775,-29080.8967,-5611.5727,4820.3029,32276.9638,-28875.3789,-13545.395,-8965.2032
8,12,20,-13219.57612,0.2680625586980177,1673.68,7608.0042,10838.1039,-17970.3261,13.51,11563.6481,19349.0544,75.07365000000027,-33707.395,-2787.7012,3813.6349,35701.0361,-35906.5538,-18992.3239,-12322.8773
8,13,21,-6593.156999999999,,,3805.456,13793.8102,-17169.8816,3.42,11413.4601,20993.4351,1436.1544999999996,-37581.0,8.179,8109.639,38929.6628,-36730.504,-18191.8794,-15394.7616
8,14,22,-6842.14112,0.2127736950219097,3199.0,6850.3198,17307.7478,-22481.7725,2.19,10655.7758,23237.8544,3417.1575,-44328.1708,1259.3192,6489.6562,42798.4768,-43649.0,-23503.7703,-18061.1494
8,15,23,-1473.6601200000005,,,2732.9795,19775.4156,-22099.0584,0.096,9583.2993,24432.405,5110.9616,-49549.0,3756.6767,11336.1072,45600.0,-46278.8034,-23121.056200000003,-20217.2997
