z,n,a,qBminus2n,B2,E2plus,Sn,q2Bminus,qEC,halflife,S2n,Sp,dqA,q2EC,qBminusn,qBminus,S2p,qECp,qBplus,qA
48,75,123,-7722.22612000001,,,4873.1171,10400.4993,-7845.6026,2.1,12482.9829,13597.0363,-24.244150000000445,-16984.4349,-1914.1406,6014.8503,25809.788,-20086.9855,-8867.6004,-8431.8221
48,76,124,-9270.711119999996,,612.8,7356.5712,11532.039,-10469.4858,1.25,12229.6883,14419.8268,-121.08054999999968,-18299.0,-1341.7208,4168.342,26661.2097,-23558.6591,-11491.4836,-8844.7481
48,77,125,-6061.692119999996,,,4719.9718,12545.5672,-8828.1511,0.68,12076.5429,14407.1105,-38.3769999999995,-19388.0,-551.6298,7064.2177,27496.2838,-22237.0,-9850.148899999998,-9590.6686
48,78,126,-7530.585119999992,0.1218757778111493,651.96,6978.955,13759.4085,-11535.0,0.512,11698.9267,15024.7591,-118.4657500000003,-20466.0,85.2627,5553.65,28434.0,-25585.0,-12556.9978,-10064.474
48,79,127,-4471.527119999988,,,4556.7901,14728.3788,-10092.0,0.45,11535.7451,15310.0,-105.96454999999968,-21521.0,996.8599,8138.6978,29360.0,-24240.0,-11113.9978,-10736.3665
48,80,128,-5571.504120000001,,645.8,6568.3641,16123.1847,-12528.0,0.2459,11125.1541,15878.0,-235.1121999999996,-22848.0,1570.3337,6951.8716,30026.0,-27307.0,-13549.9978,-11263.0
48,81,129,-2384.881120000002,,,3955.2147,17468.4551,-11252.0,0.151,10523.5788,15701.0,705.1677499999996,-25242.0,2996.6569,9712.7471,30480.0,-26021.0,-12273.9978,-11587.0
48,82,130,-3070.1161200000024,,1325.0,6066.7739,19014.6192,-15220.0,0.129,10021.9886,16536.0,2005.4615,-28388.0,3645.9732,8788.9322,31305.0,-30526.0,-16241.9978,-11752.0
48,83,131,1480.4928799999943,,,2165.4809,22052.8184,-14462.0,0.098,8232.2548,16603.0,1285.29615,-29472.0,6623.4513,12812.6089,31910.0,-29771.0,-15483.9978,-10416.0
48,84,132,3298.464880000003,,618.0,3324.987,26081.1243,-16065.0,0.084,5490.4679,17004.0,185.0,,9487.6219,11946.1243,32313.0,-32014.0,-17086.9978,-8500.0
48,85,133,7741.732880000007,,,1746.0,26734.0,-15059.0,0.061,5071.0,17029.0,125.0,,10200.0,13550.0,32978.0,,-16080.9978,-8685.0
48,86,134,6808.917879999997,,,3391.0,26974.0,,0.065,5137.0,17669.0,340.0,,10159.0,12510.0,,,,-9155.0
48,87,135,8727.36388,,,1432.0,27812.0,,,4823.0,,295.0,,11078.0,14290.0,,,,-9505.0
49,47,96,,,,,,17482.0,,,-1677.0,,26422.0,,,265.0,14527.0,16460.0022,-2985.0
49,48,97,,,,17371.0,,13344.0,0.036000000000000004,,-893.0,,23514.0,,,2062.0,9833.0,12322.0022,-3415.0
49,49,98,,,,14588.0,,13730.0,0.03,31959.0,461.0,2155.5,19160.0,,,3973.0,9709.0,12708.0022,-3929.0
49,50,99,,,,15541.0,,8555.0,3.11,30129.0,1029.0,3088.0,15336.0,,-13400.0,5050.0,4401.0,7533.0022,-3895.0
49,51,100,,,,10873.0,,10016.4492,5.66,26414.0,1535.9854,2274.7083,13959.8232,-24273.0,-7030.0,5689.6636,5245.3656,8994.4514,-2091.4166
49,52,101,-36711.53711999999,,,12438.0733,,7291.5642,15.1,23311.0,1639.277,1085.14235,12789.4828,-19468.0733,-8239.277,6410.3606,2304.097,6269.5664,-65.7903
49,53,102,-29689.386119999992,,,10221.3123,-19595.0,8964.8059,23.3,22659.3856,2147.4011,925.0327,11551.8059,-18460.5893,-5760.0,7134.8683,3350.5175,7942.808099999999,-53.3868
49,54,103,-30469.409119999997,,,12008.8195,-17962.0,6019.2293,65,22230.1318,2261.6666,949.53135,10170.3053,-17768.8195,-7540.0,7875.955,325.3334,4997.2315,-344.83
49,55,104,-27390.41512,,,9621.5957,-16888.0,7785.7166,108,21630.4151,2820.0194,891.0195,8933.7953,-17162.0,-4555.6174,8513.9152,1331.0567,6763.7188,-469.6211
49,56,105,-28691.218119999998,,,11529.2255,-15625.091,4693.2673,304.20000000000005,21150.8212,2961.1619,847.8968,7430.2663,-16084.843,-6302.5807,9415.8219,-1813.0832,3671.2695,-731.1138
49,57,106,-25123.729119999996,,,9038.8857,-14134.8485,6524.0031,373.8,20568.1112,3563.2713,759.92665,6334.2497,-15341.4664,-3254.4521,10069.6219,-826.2724,5502.0053,-786.364
49,58,107,-26371.30212,,,11029.8353,-12913.4185,3423.6586,1944,20068.7209,3723.4852,746.9424,4840.0327,-14284.2874,-5054.4281,11073.7607,-3913.2386,2401.6608,-1188.8804
49,59,108,-22908.76611999999,,,8624.4794,-11674.4873,5132.5944,3480,19654.3147,4418.4738,762.1066500000001,3486.9633,-13678.9075,-2049.8794,11755.371,-3002.0997,4110.5966,-1428.2741
49,60,109,-24119.92312,,,10441.0156,-10238.5393,2014.8047,14972.4,19065.495,4526.0742,745.6188500000001,2229.9049,-12490.895,-3859.3453,12660.7683,-6171.7053,992.8069,-1843.5933
49,61,110,-20542.656120000003,,,8051.7618,-9020.225,3878.0,17640,18492.7774,5254.6101,750.4616,987.3367,-11911.1071,-627.9769,13441.1201,-5039.5099,2856.0022,-1952.4859
49,62,111,-21904.50612000001,,,9993.3984,-7555.3032,860.1972,242334.72000000003,18045.1602,5333.0514,686.9939499999999,-176.6028,-10621.3753,-2453.4692,14250.5613,-8223.7147,-161.80060000000003,-2410.2661
49,63,112,-18290.77011999999,,,7669.395,-6391.1536,2584.7306,892.8000000000001,17662.7934,6026.8508,775.7211,-1406.3978,-10122.8642,664.9224,15110.7627,-7063.6508,1562.7327999999998,-2808.2511
49,64,113,-19571.17812,,,9448.3147,-4950.1579,-323.837,STABLE,17117.7097,6081.2372,687.62625,-2340.2986,-8783.3923,-1038.9941,15729.6185,-10072.3655,-1345.8348,-3072.6086
49,65,114,-16057.39412,,,7274.0018,-4073.1908,1445.1268,71.9,16722.3165,6815.4918,843.0522,-3638.9965,-8312.9959,1989.9281,16564.0203,-8831.9533,423.129,-3537.4168
49,66,115,-17350.864120000002,,,9037.8675,-2532.9444,-1451.8768,1.39169016e+22,16311.8692,6810.3937,690.8633,-4553.7698,-7047.9393,497.4892,17087.4738,-11894.5169,-2473.8746,-3745.8253
49,67,116,-13832.65912,,,6784.72,-1427.7387,462.7305,14.1,15822.5874,7454.2498,749.32735,-5707.0944,-6287.2308,3276.2204,17896.8899,-10556.1428,-559.2673,-4090.9453
49,68,117,-15051.825119999998,,,8764.5947,-303.4715,-2524.6381,2592,15549.3147,7519.5173,630.0443000000002,-6761.1171,-5488.3743,1454.7073,18538.3905,-13689.3421,-3546.6359,-4341.1261
49,69,118,-11844.834119999989,,,6356.4596,768.0271,-526.5277,5.4,15121.0544,8098.7507,595.66905,-7674.3745,-4901.7523,4424.6664,19263.4547,-12335.2298,-1548.5255,-4722.2819
49,70,119,-13443.552119999997,,,8541.7997,1776.8811,-3721.7197,144,14898.2593,8285.9804,595.91975,-9052.8997,-4117.1334,2366.3263,20094.6825,-15433.8273,-4743.7175,-5140.9875
49,71,120,-10217.53412,,,6100.4005,2689.3924,-1770.3754,3.08,14642.2002,9039.7732,646.8743499999996,-10076.2289,-3734.0742,5370.0,20751.8807,-14370.9531,-2792.3732,-5609.9926
49,72,121,-11912.244119999992,,,8178.1703,3764.5638,-4760.7564,23.1,14278.5707,9166.1987,616.087,-11431.7621,-2808.1703,3362.0331,21766.7764,-17472.0522,-5782.7542,-6077.5908
49,73,122,-8616.25612000001,,,5808.0859,4762.8438,-2958.9765,1.5,13986.2561,9786.4953,597.8919500000002,-12465.2428,-2446.0528,6368.5921,22497.7911,-16457.501,-3980.9743,-6442.4745
49,74,123,-10375.044119999997,,,7928.9909,5793.8569,-6014.8503,6.17,13737.0768,10105.6205,757.0073500000003,-13860.4529,-1560.3988,4385.6489,23604.1449,-19611.8867,-7036.8481,-7208.1908
49,75,124,-7070.461120000011,,,5510.0628,6751.2903,-4168.342,3.12,13439.0538,10742.5662,727.09665,-14637.8278,-1124.4139,7363.697,24339.6025,-18588.1688,-5190.3398,-7641.1824
49,76,125,-8740.26112,,,7615.8474,7842.7861,-7064.2177,2.36,13125.9103,11001.8424,896.2002499999999,-15892.3688,-252.1504,5481.3495,25421.6692,-21471.3282,-8086.2155,-8434.3928
49,77,126,-5720.5381199999865,,,5468.3873,8583.7585,-5553.65,1.53,13084.2348,11750.258,1113.4746,-17089.0,12.9622,8205.7585,26157.3685,-20578.4091,-6575.6478,-9128.1749
49,78,127,-7128.87611999999,,,7141.8378,9818.3971,-8138.6978,1.087,12610.2251,11913.1408,1104.90065,-18230.0,1063.9206,6589.681,26937.8999,-23448.0,-9160.6956,-9736.232
49,79,128,-4317.618120000003,,,5381.5379,10439.735,-6951.8716,0.84,12523.3758,12737.8887,1257.5005499999995,-19480.0,1208.1431,9171.3131,28048.0,-22829.0,-7973.8694,-10385.0819
49,80,129,-5507.947120000001,,,6716.0902,11794.4954,-9712.7471,0.629,12097.6281,12885.6148,1113.1627,-20965.0,2455.2229,7755.7081,28763.0,-25413.0,-10734.7449,-10739.8656
49,81,130,-2687.736120000005,,,5142.959,12379.1571,-8788.9322,0.277,11859.0492,14073.3591,2536.80495,-24009.0,2612.7491,10225.687,29774.0,-25325.0,-9810.929999999998,-11611.0
49,82,131,-3576.408120000011,,,6189.1576,13957.0424,-12812.6089,0.261,11332.1166,14195.7428,3854.5606,-27274.0,4036.5294,9240.2095,30732.0,-29416.0,-13834.606699999998,-11800.0
49,83,132,1578.0268800000083,,,2458.5024,17223.728,-11946.1243,0.2,8647.66,14488.7642,2802.8741,-28011.0,6781.7072,14135.0,31092.0,-28950.0,-12968.1221,-10126.0
49,84,133,3431.9428799999987,,,3350.0,21233.0,-13550.0,0.162,5808.0,14514.0,1725.0,-28610.0,10785.0,13184.0,31518.0,-30579.0,-14571.9978,-8245.0
49,85,134,8433.917880000005,,,2351.0,22049.0,-12510.0,0.121,5701.0,15119.0,1696.0,,10833.0,14464.0,32148.0,-30179.0,-13531.9978,-8497.0
49,86,135,7621.25388,,,3212.0,22580.0,-14290.0,0.097,5563.0,14939.0,1710.0,,11252.0,13522.0,32608.0,,-15311.9978,-8785.0
49,87,136,9321.122880000006,,,1931.0,23537.0,,0.085,5143.0,15439.0,1575.0,,11591.0,15200.0,,,,-8995.0
49,88,137,8659.615880000001,,,2931.0,24230.0,,0.065,4862.0,,1520.0,,12269.0,14320.0,,,,-9175.0
50,49,99,,,,,,13400.0,0.024,,1359.0,,21955.0,,,1820.0,12371.0,12378.0022,-3345.0
50,50,100,,,,17243.0,,7030.0,1.18,,3061.0,4548.69985,17046.4492,,,4089.6636,5494.0146,6008.0022,-4001.0
50,51,101,,,,11228.7963,,8239.277,2.2,28472.0,3416.4493,3532.8566,15530.8412,,,4952.4347,6599.9999,7217.2792,-1996.5133
50,52,102,,,1472.0,12700.5893,,5760.0,3.8,23929.3856,3678.9653,2006.8038,14724.8059,,-13835.0,5318.2423,3612.5989,4738.0022,276.6132
50,53,103,,,,10229.0,,7540.0,7,22929.0,3686.0,1798.17665,13559.0,-24064.0,-10422.0,5834.0,5278.0,6518.0022,414.0
50,54,104,-36669.69312,,1260.1,12606.0,-22000.2266,4555.6174,20.9,22834.7977,4283.6312,1638.92135,12341.3341,-23028.0,-12332.0,6545.2978,1735.598,3533.6196,142.6223
50,55,105,-32810.63712,,,9782.2623,-20526.4928,6302.5807,32.7,22388.0,4444.2978,1562.0689,10995.848,-22115.0,-9322.5103,7264.3172,3341.4188,5280.5829,73.5483
50,56,106,-34201.33412,,1207.7,12087.0142,-19133.9387,3254.4521,115.19999999999999,21869.2765,5002.0865,1408.93655,9778.4553,-21409.5245,-10880.3964,7963.2484,-308.8192,2232.4543,-118.9119
50,57,107,-30639.38412,,,9229.8593,-17855.0,5054.4281,174,21316.8735,5193.0601,1392.68215,8478.0867,-20110.2557,-7858.9903,8756.3315,1330.943,4032.4303,-285.5283
50,58,108,-31739.284119999986,0.1232776154113818,1206.07,11629.0281,-16288.2725,2049.8794,630,20858.8874,5792.253,1301.9941,7182.4738,-19488.0184,-9624.6079,9515.7381,-2368.5944,1027.8815999999997,-526.4734
50,59,109,-28119.568119999985,,,8631.5497,-14914.7811,3859.3453,1086,20260.5778,5799.3233,1289.73705,5874.15,-18256.1576,-6379.194,10217.7971,-666.7289,2837.3475,-721.2469
50,60,110,-29539.28812,0.1202380646576334,1212.02,11283.1301,-13612.172,627.9769,14954.4,19914.6798,6641.4378,1331.0779,4505.9769,-17662.3241,-8392.248,11167.5121,-4626.6331,-394.0209,-1134.7556
50,61,111,-25830.23112,,,8167.9061,-12351.0937,2453.4692,2118,19451.0363,6757.5822,1412.03415,3313.6664,-16560.1542,-5101.834,12012.1923,-2879.5822,1431.4714,-1373.171
50,62,112,-27347.940120000003,0.1226217657877929,1256.69,10787.7866,-11087.5311,-664.9224,STABLE,18955.6928,7551.9704,1396.9416,1919.8081,-15889.6206,-7056.076,12885.0218,-6691.7732,-1686.9202,-1827.5424
50,63,113,-23634.01812,,,7744.3982,-9981.0918,1038.9941,9942912,18532.1848,7626.9736,1528.21395,715.1571,-14800.4742,-3911.1637,13653.8244,-5042.243,16.996299999999906,-2248.7147
50,64,114,-25103.39812,0.1054081545942688,1299.907,10302.924,-8670.0588,-1989.9281,STABLE,18047.3222,8481.5829,1540.3716,-544.8013,-14214.0878,-6063.1189,14562.82,-8805.4199,-3011.9259,-2636.6816
50,65,115,-21759.516120000004,,,7545.4285,-7971.0783,-497.4892,STABLE,17848.3525,8753.0096,1816.4525,-1949.366,-13608.5475,-3030.4336,15568.5015,-7307.8829,-1519.487,-3206.5145
50,66,116,-23171.99912000001,0.1117330353948927,1293.56,9563.4512,-6262.1863,-3276.2204,STABLE,17108.8797,9278.5934,1557.47005,-2813.4899,-12593.8847,-4703.9591,16088.987,-10730.4702,-4298.2182,-3376.0374
50,67,117,-19536.96612,,,6943.0816,-5302.2421,-1454.7073,STABLE,16506.5328,9436.955,1604.54395,-3979.3454,-11647.0407,-1758.1788,16891.2048,-8974.2246,-2476.7051,-3779.3719
50,68,118,-20973.45911999999,0.1101425134193819,1229.666,9326.4187,-3962.0852,-4424.6664,STABLE,16269.5003,9998.779,1488.7352,-4951.194,-11084.5975,-3656.6393,17518.2963,-12523.4171,-5446.6642,-4062.825
50,69,119,-17568.05712,,,6483.4596,-2882.4452,-2366.3263,STABLE,15809.8783,10125.779,1437.2558499999998,-6088.046,-10140.0989,-589.4452,18224.5297,-10652.3067,-3388.3241000000003,-4405.4207
50,70,120,-19244.17312,0.1070775932067742,1171.265,9104.0742,-1735.5805,-5370.0,STABLE,15587.5338,10688.0535,1479.42545,-7140.3754,-9693.5194,-2680.6076,18974.0339,-14409.7732,-6391.9978,-4810.1677
50,71,121,-15863.72312,,,6170.2034,-653.5155,-3362.0331,97380,15274.2776,10757.8564,1476.5306,-8122.7895,-8850.811,402.5306,19797.6296,-12528.2318,-4384.0309,-5203.1449
50,72,122,-17665.45611999999,0.1027937736713001,1140.51,8814.6449,373.3289,-6368.5921,STABLE,14984.8482,11394.331,1557.0445499999998,-9327.5686,-8412.1142,-1605.7483,20560.5297,-16155.0874,-7390.5899,-5663.2197
50,73,123,-14358.162119999995,,,5946.0478,1356.2951,-4385.6489,11162879.999999998,14760.6926,11532.2929,1685.96485,-10400.4993,-7551.796,1408.2079,21318.7881,-14491.2694,-5407.6467,-6262.6598
50,74,124,-16039.906120000003,0.0951619095937862,1131.739,8488.1109,2292.6663,-7363.697,STABLE,14434.1586,12091.4128,1755.896,-11532.039,-7079.903,-612.4067,22197.0333,-18106.2632,-8385.6948,-6699.026
50,75,125,-12813.403120000006,,,5733.5,3128.1366,-5481.3495,832377.6,14221.6109,12314.85,1854.2969,-12545.5672,-6345.9066,2361.4366,23057.4161,-16483.192,-6503.3473,-7244.7366
50,76,126,-14538.70211999999,0.0832547229053614,1141.15,8192.7963,4049.0321,-8205.7585,6248404800000,13926.2962,12891.7988,2032.46355,-13759.4085,-5831.3597,378.0,23893.6412,-19956.0165,-9227.7563,-7827.6671
50,77,127,-11357.120119999996,,,5525.7604,4810.919,-6589.681,7560,13718.5567,12949.1719,2156.9754000000003,-14728.3788,-5147.7604,3228.716,24699.4299,-18502.8219,-7611.6788,-8480.3104
50,78,128,-13110.931119999996,0.0646074252178201,1168.82,7963.17,5632.3638,-9171.3131,3576,13488.9304,13770.504,2417.613,-16123.1847,-4734.454,1268.4219,25683.6449,-21909.2018,-10193.3109,-9086.9092
50,79,129,-10034.93912,,,5300.4851,6414.2874,-7755.7081,133.8,13263.6551,13689.4512,2447.98535,-17468.4551,-4032.0632,4038.7874,26427.3399,-20641.3228,-8777.705899999999,-9667.4226
50,80,130,-11645.001120000004,,1221.26,7612.9379,7220.743,-10225.687,223.8,12913.423,14586.299,2737.4770000000003,-19014.6192,-3574.1506,2153.4702,27471.9138,-24299.0461,-11247.6848,-10301.4055
50,81,131,-8777.831119999992,,,5203.6802,7946.4427,-9240.2095,56,12816.6181,14647.0202,4029.58415,-22052.8184,-3050.21,4716.8328,28720.3792,-23435.9524,-10262.2073,-10948.2956
50,82,132,-10403.503119999998,0.0712973649255199,4041.2,7353.2928,8641.6435,-14135.0,39.7,12556.973,15811.1554,5714.79145,-26081.1243,-2636.46,3088.728,30006.8982,-28623.7642,-15156.9978,-11733.2244
50,83,133,-5035.114120000002,,,2398.6548,12063.2425,-13184.0,1.38,9751.9477,15751.3079,4660.9384,-26734.0,690.0732,8049.6228,30240.0721,-27697.4321,-14205.9978,-10176.6645
50,84,134,-2941.113119999998,,725.6,3631.1864,16099.9936,-14464.0,1.024,6029.8413,16033.0,3026.96255,-26974.0,4418.4363,7585.2453,30546.2715,-29583.0,-15485.9978,-7741.077
50,85,135,2148.6248800000067,,,2269.8116,17096.538,-13522.0,0.515,5900.998,15951.0,2923.83195,-27812.0,5315.4337,9058.08,31070.0,-28461.0,-14543.9978,-7845.4077
50,86,136,1706.3678800000016,,688.0,3609.0,18255.0,-15200.0,0.355,5879.0,16349.0,2754.0,,5449.0,8337.0,31288.0,-30639.0,-16221.9978,-8130.0
50,87,137,3397.695879999996,,,2051.0,19154.0,-14320.0,0.228,5660.0,16469.0,2745.0,,6286.0,9911.0,31907.0,,-15341.9978,-8435.0
50,88,138,2854.25388,,715.0,3432.0,20186.0,,0.148,5483.0,16969.0,2505.5,,6479.0,9140.0,,,,-8475.0
50,89,139,4607.755880000001,,,1871.0,20895.0,,0.12,5303.0,,2635.0,,7269.0,10740.0,,,,-8915.0
50,90,140,4017.363880000001,,,3252.0,21877.0,,,5123.0,,,,7488.0,9900.0,,,,
51,51,102,,,,,,13835.0,,,-1917.0,2496.5,19595.0,,,1500.0,10156.0,12813.0022,382.0
51,52,103,,,,13642.0,,10422.0,,,-976.0,1267.5,17962.0,,,2703.0,6736.0,9400.0022,2281.0
51,53,104,,,,10696.0,,12332.0,0.49,24337.0,-508.687,820.3330999999998,16888.0,,-9668.0,3178.0,8049.0,11310.0022,2458.0
51,54,105,,,,12792.0,,9322.5103,1.12,23488.0,-322.595,906.78775,15625.091,-22459.9786,-11203.9825,3961.0362,4878.2125,8300.5125,2104.4944
51,55,106,-32989.10612000001,,,10529.1282,-23174.0,10880.3964,0.6,23321.0,424.2708,891.9314,14134.8485,-21733.1107,-8253.5423,4868.5687,5878.3099,9858.3986,1796.6786
51,56,107,-33984.37512000001,,,12251.2653,-21224.0,7858.9903,4,22780.3935,588.5219,860.15255,12913.4185,-20504.8076,-9996.0,5590.6085,2665.9302,6836.9925,1554.2327
51,57,108,-30368.21812,,,9863.4105,-19674.0,9624.6079,7.4,22114.6758,1222.0732,822.3342500000001,11674.4873,-19860.0,-6663.6646,6415.1333,3832.355,8602.610100000002,1312.4179
51,58,109,-31736.622120000004,,,11876.9636,-18578.4812,6379.194,17.24,21740.3741,1470.0087,870.93715,10238.5393,-18540.6282,-8535.5871,7262.2617,579.8707,5357.1962,964.6798
51,59,110,-27810.705119999988,,,9270.0761,-16981.9006,8392.248,23.6,21147.0398,2108.5351,826.2023,9020.225,-17805.6632,-5219.924,7907.8584,1750.8102,7370.250199999999,733.4893
51,60,111,-29263.98412,,,11458.3202,-15882.9519,5101.834,74.9,20728.3963,2283.7251,884.51085,7555.3032,-16678.2442,-7249.2597,8925.163,-1655.7482,4079.8362,305.0044
51,61,112,-25511.78812,,,8833.5446,-14535.6346,7056.076,53.6,20291.8647,2949.3636,828.7322,6391.1536,-16082.8043,-4031.455,9706.9458,-495.8944,6034.0782,95.9392
51,62,113,-26972.11512000001,,,10889.3105,-13297.4491,3911.1637,400.2,19722.8551,3050.8874,952.9186,4950.1579,-14920.7655,-6069.9281,10602.8579,-3715.8099,2889.1659,-352.3556
51,63,114,-23071.73412,,,8150.9688,-11857.6816,6063.1189,209.4,19040.2793,3457.4581,776.1034,4073.1908,-14220.8969,-2606.9398,11084.4317,-2418.4639,5041.1211,-451.5627
51,64,115,-24799.01112,,,10578.1139,-10665.6075,3030.4336,1920,18729.0827,3732.648,918.52155,2532.9444,-13185.0537,-4940.6447,12214.2308,-5722.5761,2008.4358,-1036.2782
51,65,116,-21074.98012,,,7889.9257,-9401.3661,4703.9591,948,18468.0396,4077.1451,953.37625,1427.7387,-12830.5704,-1558.2272,12830.1548,-4574.6343,3681.9613,-1256.8089
51,66,117,-22719.43311999999,,,9888.8619,-8200.9955,1758.1788,10080,17778.7876,4402.5559,833.1774,303.4715,-11447.0892,-3544.0634,13681.1492,-7678.7763,736.1809999999999,-1697.3561
51,67,118,-18875.047119999992,,,7427.9581,-7025.1474,3656.6393,216,17316.8201,4887.4324,671.6592,-768.0271,-10972.0215,-305.4459,14324.3874,-6342.1397,2634.6415,-1851.3124
51,68,119,-20522.675120000004,,,9550.6538,-5697.808,589.4452,137520,16978.6119,5111.6674,736.0672,-1776.8811,-9856.0996,-2293.0,15110.4464,-9536.3338,-432.5526,-2364.0987
51,69,120,-16869.01112,,,7012.9118,-4669.9729,2680.6076,953.4000000000001,16563.5656,5641.1197,609.9766,-2689.3924,-9305.9118,945.0271,15766.8986,-8007.4459,1658.6097999999995,-2592.2906
51,70,121,-18559.25412,,,9253.3416,-3353.5077,-402.5306,STABLE,16266.2534,5790.387,709.62725,-3764.5638,-8308.3145,-1056.0462,16478.4405,-11160.387,-1424.5284,-3081.0375
51,71,122,-15114.681119999996,,,6806.3659,-2254.9228,1605.7483,232772.832,16059.7075,6426.5496,764.86805,-4762.8438,-7862.4121,1979.0772,17184.406,-9788.5827,583.7505,-3530.9438
51,72,123,-16822.415119999994,,,8960.004,-1280.3026,-1408.2079,STABLE,15766.3699,6571.9087,881.9529500000001,-5793.8569,-6980.9267,-51.9128,17966.2397,-12940.5008,-2430.2057,-3949.148
51,73,124,-13448.423119999996,,,6467.4963,-254.514,612.4067,5202057.600000001,15427.5003,7093.3572,886.1833000000001,-6751.2903,-6519.4091,2905.073,18625.6501,-11479.0062,-409.5911,-4316.2439
51,74,125,-15226.752119999994,,,8707.3432,580.93,-2361.4366,87026393.52,15174.8395,7312.5896,1084.20935,-7842.7861,-5802.2703,766.7,19404.0024,-14676.2865,-3383.4344,-4845.4168
51,75,126,-12011.629119999989,,,6209.3597,1517.3609,-378.0,1062720,14916.7029,7788.4493,1139.3611,-8583.7585,-5442.6597,3671.0321,20103.2992,-13269.7988,-1399.9978,-5246.6906
51,76,127,-13819.13612,,,8376.4764,2284.9229,-3228.716,331776,14585.8361,7972.1294,1262.4134,-9818.3971,-4705.4443,1582.203,20863.9282,-16177.8879,-4250.7138,-5694.1761
51,77,128,-10708.320119999991,,,6002.8758,3108.1785,-1268.4219,32580.000000000004,14379.3523,8449.2449,1344.21165,-10439.735,-4420.6729,4363.9419,21398.4167,-15038.9259,-2290.4197,-6186.9891
51,78,129,-12491.523120000002,,,8070.8506,3877.7919,-4038.7874,15840.000000000002,14073.7265,8556.9255,1494.5794,-11794.4954,-3706.9087,2375.5,22327.4295,-17728.2386,-5060.7852,-6641.9923
51,79,130,-9434.52912000001,,,5727.6207,4650.5012,-2153.4702,2430,13798.4713,8984.0611,1359.2784499999998,-12379.1571,-3352.1207,5067.2728,22673.5123,-16739.7692,-3175.4680000000003,-6901.2257
51,80,131,-11119.16411999999,,,7767.0428,5461.3157,-4716.8328,1381.8000000000002,13494.6636,9138.166,1651.8734,-13957.0424,-2699.77,3229.6099,23724.465,-19363.853,-5738.8306,-7526.4307
51,81,132,-8424.95812,,,5725.188,6068.22,-3088.728,167.4,13492.2309,9659.6738,2767.61095,-17223.728,-2495.5781,5552.9155,24306.694,-18899.8834,-4110.7258,-7870.0808
51,82,133,-9855.127120000008,,,7359.5496,6933.7887,-8049.6228,144.60000000000002,13084.7376,9665.9306,4327.93445,-21233.0,-1806.6341,4013.6198,25477.086,-23800.9306,-9071.6206,-8513.5402
51,83,134,-4973.44312,,,3166.8089,10024.4358,-7585.2453,0.675,10526.3585,10434.0847,3075.7843,-22049.0,846.8108,8514.7483,26185.3925,-23618.0,-8607.2431,-6537.3901
51,84,135,-2895.8351199999925,,,3742.6463,14088.8475,-9058.08,1.668,6909.4552,10545.5446,1442.6657,-22580.0,4772.102,8038.4581,26578.0,-25009.0,-10080.0778,-4090.8788
51,85,136,1884.2258799999945,,,2887.8754,15038.3351,-8337.0,0.924,6630.5217,11163.6083,1498.0014,-23537.0,5150.5827,9918.3897,27115.0,-24686.0,-9358.9978,-4520.2518
51,86,137,1525.7618799999946,,,3624.8209,16295.8761,-9911.0,0.506,6512.6963,11179.0,1251.9054,-24230.0,6293.5687,9243.3698,27528.0,-26379.0,-10932.9978,-4795.0
51,87,138,3632.642879999996,,,2661.0,17330.0,-9140.0,0.314,6286.0,11789.0,1263.5,,6583.0,11046.0,28258.0,-26109.0,-10161.9978,-5105.0
51,88,139,3111.1258800000032,,,3472.0,18421.0,-10740.0,0.182,6132.0,11829.0,1100.0,,7575.0,10155.0,28798.0,,-11761.9978,-5365.0
51,89,140,5163.358879999996,,,2412.0,19216.0,-9900.0,0.171,5883.0,12369.0,1240.0,,7743.0,11977.0,,,-10921.9978,-5845.0
51,90,141,4522.4438800000025,,,3221.0,20387.0,,0.10300000000000001,5633.0,12339.0,1060.0,,8756.0,11129.0,,,,-6135.0
51,91,142,6614.812880000001,,,2141.0,21193.0,,0.053,5362.0,,,,8988.0,12939.0,,,,
52,52,104,,,,,,9668.0,1.8000000000000002e-8,,246.0,-263.42074999999977,22000.2266,,,-730.1229,10177.0,8646.0022,5096.3997
52,53,105,,,,11255.9961,,11203.9825,6.3e-7,,806.0,-426.0767999999998,20526.4928,,,297.0,11526.5775,10181.9847,5069.1999
52,54,106,,,664.8,13479.5684,,8253.5423,0.000069,24735.5644,1493.2389,-209.00710000000004,19133.9387,,-14920.0,1170.6438,7829.2714,7231.544499999999,4290.2208
52,55,107,,,,10509.0,,9996.0,0.0036000000000000003,23988.0,1473.0,-149.1015000000002,17855.0,-25429.0,-11227.0,1897.0,9408.0,8974.0022,4010.3533
52,56,108,-38624.31212,,625.2,13196.0,-23149.3198,6663.6646,2.1,23704.5535,2417.3989,-45.02610000000004,16288.2725,-24423.0,-13011.0,3005.9209,5441.5914,5641.6668,3420.465
52,57,109,-34428.03512,,,10005.0412,-21545.853,8535.5871,4.4,23201.0,2559.0296,-55.41439999999989,14914.7811,-23016.0,-10042.8941,3781.1028,7065.5784,7513.589300000001,3197.6861
52,58,110,-35601.45711999999,,657.2,12585.7392,-20307.1841,5219.924,18.6,22590.7804,3267.8051,10.022399999999834,13612.172,-22628.6333,-11761.9766,4737.8138,3111.3889,4197.9262,2698.9612
